panther:/ # cat /proc/28308/maps
6d31c1d000-6d31dd7000 r-xp 00000000 fe:2c 76566                          /data/app/~~LzSS60h4_mJwhWyAn4xA2g==/com.tencent.token-_4XZlzn5NnLLZ9ZSk_cS3w==/lib/arm64/libwcdb.so
6d31dd7000-6d31de7000 ---p 00000000 00:00 0 
6d31de7000-6d31df7000 r--p 001ba000 fe:2c 76566                          /data/app/~~LzSS60h4_mJwhWyAn4xA2g==/com.tencent.token-_4XZlzn5NnLLZ9ZSk_cS3w==/lib/arm64/libwcdb.so
6d31df7000-6d31dfa000 rw-p 001ca000 fe:2c 76566                          /data/app/~~LzSS60h4_mJwhWyAn4xA2g==/com.tencent.token-_4XZlzn5NnLLZ9ZSk_cS3w==/lib/arm64/libwcdb.so
6d31dfa000-6d31dfc000 rw-p 00000000 00:00 0                              [anon:.bss]
6d31e00000-6d33e00000 ---p 00000000 00:00 0 
6d33e36000-6d33e37000 ---p 00000000 00:00 0 
6d33e37000-6d33ec7000 rw-p 00000000 00:00 0                              [anon:scudo:secondary]
6d33ec7000-6d33ec9000 ---p 00000000 00:00 0 
6d33ec9000-6d33eca000 ---p 00000000 00:00 0                              [anon:stack_and_tls:28449]
6d33eca000-6d33fd1000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28449]
6d33fd1000-6d33fd2000 ---p 00000000 00:00 0 
6d33fd2000-6d34696000 ---p 00000000 00:00 0 
6d34696000-6d34698000 rw-p 00000000 00:00 0 
6d34698000-6d35cfc000 ---p 00000000 00:00 0 
6d35cfc000-6d35cfe000 rw-p 00000000 00:00 0 
6d35cfe000-6d35fd2000 ---p 00000000 00:00 0 
6d35fd2000-6d35fd3000 ---p 00000000 00:00 0 
6d35fd3000-6d35fd4000 ---p 00000000 00:00 0                              [anon:stack_and_tls:28446]
6d35fd4000-6d360db000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28446]
6d360db000-6d360dd000 ---p 00000000 00:00 0 
